1	James HardenHOU	SG	72	35.4	30.4	9	20.1	44.9	3.7	10	36.7	8.7	10.1	85.8	5.4	8.8	1.8	0.7	4.4	31	4
2	Anthony DavisNO	PF	75	36.4	28.1	10.4	19.5	53.4	0.7	2.2	34	6.6	8	82.8	11.1	2.3	1.5	2.6	2.2	50	1
3	LeBron JamesCLE	SF	82	36.9	27.5	10.5	19.3	54.2	1.8	5	36.7	4.7	6.5	73.1	8.6	9.1	1.4	0.9	4.2	52	18
4	Damian LillardPOR	PG	73	36.6	26.9	8.5	19.4	43.9	3.1	8.6	36.1	6.8	7.4	91.6	4.5	6.6	1.1	0.4	2.8	11	0
5	Giannis AntetokounmpoMIL	PF	75	36.7	26.9	9.9	18.7	52.9	0.6	1.9	30.7	6.5	8.5	76	10	4.8	1.5	1.4	3	42	1
6	Stephen CurryGS	PG	51	32	26.4	8.4	16.9	49.5	4.2	9.8	42.3	5.5	5.9	92.1	5.1	6.1	1.6	0.2	3	5	0
7	Kevin DurantGS	PF	68	34.2	26.4	9.3	18	51.6	2.5	6.1	41.9	5.3	5.9	88.9	6.8	5.4	0.7	1.8	3	15	2
8	Russell WestbrookOKC	PG	80	36.4	25.4	9.5	21.1	44.9	1.2	4.1	29.8	5.2	7.1	73.7	10.1	10.3	1.8	0.3	4.8	59	25
9	DeMarcus CousinsNO	C	48	36.2	25.2	8.5	18	47	2.2	6.1	35.4	6.1	8.2	74.6	12.9	5.4	1.6	1.6	5	38	3
10	Devin BookerPHX	SG	54	34.5	24.9	8.4	19.5	43.2	2.7	7.1	38.3	5.4	6.1	87.8	4.5	4.7	0.9	0.3	3.6	4	0
11	Kyrie IrvingBOS	PG	60	32.2	24.4	8.9	18.1	49.1	2.8	6.8	40.8	3.9	4.4	88.9	3.8	5.1	1.1	0.3	2.3	1	0
12	LaMarcus AldridgeSA	C	75	33.5	23.1	9.2	18	51	0.4	1.2	29.3	4.5	5.3	83.7	8.5	2	0.6	1.2	1.5	27	0
12	Victor OladipoIND	SG	75	34	23.1	8.5	17.9	47.7	2.1	5.8	37.1	3.9	4.9	79.9	5.2	4.3	2.4	0.8	2.9	3	0
14	DeMar DeRozanTOR	SF	80	33.9	23	8.1	17.7	45.6	1.1	3.6	31	5.8	7	82.5	3.9	5.2	1.1	0.3	2.2	0	0
15	Joel EmbiidPHI	C	63	30.3	22.9	8.1	16.8	48.3	1	3.4	30.8	5.7	7.4	76.9	11	3.2	0.6	1.8	3.7	38	0
16	Kristaps PorzingisNY	C	48	32.4	22.7	8.1	18.5	43.9	1.9	4.8	39.5	4.5	5.7	79.3	6.6	1.2	0.8	2.4	1.9	5	0
17	Bradley BealWSH	SG	82	36.3	22.6	8.3	18.1	46	2.4	6.5	37.5	3.6	4.5	79.1	4.4	4.5	1.2	0.4	2.6	4	0
18	Lou WilliamsLAC	SG	79	32.8	22.6	7.4	16.9	43.5	2.4	6.6	35.9	5.5	6.2	88	2.5	5.3	1.1	0.2	3	7	0
19	Jimmy ButlerMIN	SF	59	36.7	22.2	7.4	15.6	47.4	1.2	3.4	35	6.2	7.2	85.4	5.3	4.9	2	0.4	1.8	3	0
20	Kemba WalkerCHA	PG	80	34.2	22.1	7.4	17	43.1	2.9	7.5	38.4	4.5	5.3	86.4	3.1	5.6	1.1	0.3	2.2	3	0
21	Paul GeorgeOKC	F	79	36.6	21.9	7.3	17	43	3.1	7.7	40.1	4.3	5.2	82.2	5.7	3.3	2	0.5	2.7	4	0
22	Blake GriffinLAC/DET	PF	58	34	21.4	7.5	17.2	43.8	1.9	5.6	34.5	4.5	5.7	78.5	7.4	5.8	0.7	0.3	2.8	16	3
