1	James HardenHOU	SG	68	36.5	34.3	9.9	22.3	44.4	4.4	12.4	35.5	10.2	11.8	86.5	6.6	7.5	1.8	0.9	4.5	22	4
2	Bradley BealWSH	SG	57	36	30.5	10.4	22.9	45.5	3	8.4	35.3	6.8	8	84.2	4.2	6.1	1.2	0.4	3.4	8	0
3	Damian LillardPOR	PG	66	37.5	30	9.5	20.4	46.3	4.1	10.2	40.1	7	7.8	88.8	4.3	8	1.1	0.3	2.9	19	1
4	Trae YoungATL	PG	60	35.3	29.6	9.1	20.8	43.7	3.4	9.5	36.1	8	9.3	86	4.3	9.3	1.1	0.1	4.8	28	2
5	Giannis AntetokounmpoMIL	PF	63	30.4	29.5	10.9	19.7	55.3	1.4	4.7	30.4	6.3	10	63.3	13.6	5.6	1	1	3.7	56	4
6	Luka DoncicDAL	PG	61	33.6	28.8	9.5	20.6	46.3	2.8	8.9	31.6	7	9.2	75.8	9.4	8.8	1	0.2	4.3	39	17
7	Kyrie IrvingBKN	PG	20	32.9	27.4	10	20.8	47.8	2.8	7.1	39.4	4.7	5.1	92.2	5.2	6.4	1.4	0.5	2.6	3	1
8	Russell WestbrookHOU	PG	57	35.9	27.2	10.6	22.5	47.2	1	3.7	25.8	5.1	6.7	76.3	7.9	7	1.6	0.4	4.5	22	8
9	Kawhi LeonardLAC	SF	57	32.4	27.1	9.3	19.9	47	2.2	5.7	37.8	6.2	7.1	88.6	7.1	4.9	1.8	0.6	2.6	13	1
10	Devin BookerPHX	SG	70	35.9	26.6	9	18.3	48.9	2	5.7	35.4	6.7	7.3	91.9	4.2	6.5	0.7	0.3	3.8	11	0
11	Anthony DavisLAL	PF	62	34.4	26.1	8.9	17.7	50.3	1.2	3.5	33	7.2	8.5	84.6	9.3	3.2	1.5	2.3	2.5	29	0
12	Zach LaVineCHI	SG	60	34.8	25.5	9	20	45	3.1	8.1	38	4.5	5.6	80.2	4.8	4.2	1.5	0.5	3.4	2	0
13	LeBron JamesLAL	SF	67	34.6	25.3	9.6	19.4	49.3	2.2	6.3	34.8	3.9	5.7	69.3	7.8	10.2	1.2	0.5	3.9	46	13
14	Donovan MitchellUTAH	SG	69	34.3	24	8.7	19.4	44.9	2.5	6.9	36.6	4	4.7	86.3	4.4	4.3	1	0.2	2.7	1	0
15	Brandon IngramNO	SF	62	33.9	23.8	8.2	17.7	46.3	2.4	6.2	39.1	5	5.9	85.1	6.1	4.2	1	0.6	3	9	0
16	Jayson TatumBOS	SF	66	34.3	23.4	8.4	18.6	45	2.9	7.1	40.3	3.8	4.7	81.2	7	3	1.4	0.9	2.3	10	0
17	Joel EmbiidPHI	C	51	29.5	23	7.5	15.7	47.7	1.1	3.4	33.1	6.9	8.5	80.7	11.6	3	0.9	1.3	3.1	37	0
18	Pascal SiakamTOR	PF	60	35.2	22.9	8.3	18.4	45.3	2.2	6.1	35.9	4	5.1	79.2	7.3	3.5	1	0.9	2.5	12	0
19	Zion WilliamsonNO	PF	24	27.8	22.5	8.8	15	58.3	0.3	0.6	42.9	4.8	7.4	64	6.3	2.1	0.7	0.4	2.5	2	0
20	CJ McCollumPOR	SG	70	36.5	22.2	8.7	19.4	45.1	2.8	7.3	37.9	2	2.6	75.7	4.2	4.4	0.8	0.6	1.8	4	0
21	DeMar DeRozanSA	SF	68	34.1	22.1	8.2	15.4	53.1	0.1	0.5	25.7	5.6	6.6	84.5	5.5	5.6	1	0.3	2.4	7	0
22	Andrew WigginsMIN/GS	SF	54	34.4	21.8	8.1	18.1	44.7	2.1	6.2	33.2	3.5	5	70.9	5.1	3.7	0.8	1	2.4	4	1
23	Paul GeorgeLAC	F	48	29.6	21.5	7.1	16.3	43.9	3.3	7.9	41.2	4	4.5	87.6	5.7	3.9	1.4	0.4	2.6	5	0
24	De'Aaron FoxSAC	PG	51	32	21.1	7.7	16	48	1.1	3.6	29.2	4.7	6.7	70.5	3.8	6.8	1.5	0.5	3.1	9	0
25	Khris MiddletonMIL	SF	62	29.9	20.9	7.6	15.3	49.7	2.4	5.7	41.5	3.4	3.7	91.6	6.2	4.3	0.9	0.1	2.2	7	0
26	Collin SextonCLE	PG	65	33	20.8	7.9	16.7	47.2	1.5	3.9	38	3.5	4.1	84.6	3.1	3	1	0.1	2.4	0	0
27	Spencer DinwiddieBKN	PG	64	31.2	20.6	6.6	16	41.5	1.9	6.3	30.8	5.4	7	77.8	3.5	6.8	0.6	0.3	2.7	9	0
28	Kemba WalkerBOS	PG	56	31.1	20.4	6.8	15.9	42.5	3.2	8.4	38.1	3.7	4.3	86.4	3.9	4.8	0.9	0.5	2.1	2	0
29	Kristaps PorzingisDAL	C	57	31.8	20.4	7	16.4	42.7	2.5	7.1	35.2	4	5	79.9	9.5	1.8	0.7	2	1.6	25	0
30	Jaylen BrownBOS	SG	57	33.9	20.3	7.5	15.6	48.1	2.3	5.9	38.2	3.1	4.3	72.4	6.4	2.1	1.1	0.4	2.2	8	0
31	Bojan BogdanovicUTAH	SF	63	33.1	20.2	6.6	14.8	44.7	3	7.3	41.4	4	4.4	90.3	4.1	2.1	0.5	0.1	2.5	0	0
32	Jimmy ButlerMIA	SF	58	33.8	19.9	5.9	13.1	45.5	0.5	2.1	24.4	7.6	9.1	83.4	6.7	6	1.8	0.6	2.2	11	3
33	Nikola JokicDEN	C	73	32	19.9	7.7	14.7	52.8	1.1	3.5	31.4	3.4	4.1	81.7	9.7	7	1.2	0.6	3.1	43	13
34	T.J. WarrenIND	SF	67	32.9	19.8	8	14.9	53.6	1.4	3.4	40.3	2.5	3	81.9	4.2	1.5	1.2	0.5	1.3	2	0
35	Tobias HarrisPHI	PF	72	34.3	19.6	7.7	16.3	47.1	1.8	5	36.7	2.4	3	80.6	6.9	3.2	0.7	0.6	1.4	11	0
36	Nikola VucevicORL	C	62	32.2	19.6	8	16.7	47.7	1.6	4.7	33.9	2.1	2.7	78.4	10.9	3.6	0.9	0.8	1.4	41	0
37	Julius RandleNY	PF	64	32.5	19.5	7.2	15.7	46	1	3.6	27.7	4	5.5	73.3	9.7	3.1	0.8	0.3	3	30	0
38	Kyle LowryTOR	PG	58	36.2	19.4	5.8	13.8	41.6	2.8	8	35.2	5.1	5.9	85.7	5	7.5	1.4	0.4	3.1	15	2
39	Buddy HieldSAC	SG	72	30.8	19.2	6.9	16.1	42.9	3.8	9.6	39.4	1.6	1.9	84.6	4.6	3	0.9	0.2	2.3	2	0
40	Jrue HolidayNO	PG	61	34.7	19.1	7.5	16.5	45.5	2	5.7	35.3	2.1	3	70.9	4.8	6.7	1.6	0.8	3	10	1
41	Shai Gilgeous-AlexanderOKC	PG	70	34.7	19	6.8	14.5	47.1	1.2	3.6	34.7	4.1	5.1	80.7	5.9	3.3	1.1	0.7	1.9	9	1
42	Dennis SchroderOKC	PG	65	30.8	18.9	7	14.8	46.9	1.9	5	38.5	3	3.6	83.9	3.6	4	0.7	0.2	2.6	0	0
43	LaMarcus AldridgeSA	C	53	33.1	18.9	7.4	15	49.3	1.2	3	38.9	3	3.6	82.7	7.4	2.4	0.7	1.6	1.4	14	0
44	Caris LeVertBKN	SG	45	29.6	18.7	6.9	16.3	42.5	1.8	4.9	36.4	3.1	4.4	71.1	4.2	4.4	1.2	0.2	2.6	2	1
45	Danilo GallinariOKC	PF	62	29.6	18.7	5.8	13.2	43.8	2.9	7.1	40.5	4.3	4.8	89.3	5.2	1.9	0.7	0.1	1.2	3	0
46	Kelly Oubre Jr.PHX	SG	56	34.5	18.7	6.7	14.8	45.2	1.9	5.5	35.2	3.4	4.4	78	6.4	1.5	1.3	0.7	1.5	9	0
47	Montrezl HarrellLAC	C	63	27.8	18.6	7.5	12.9	58	0	0.3	0	3.7	5.6	65.8	7.1	1.7	0.6	1.1	1.7	12	0
48	Evan FournierORL	SG	66	31.5	18.5	6.6	14.1	46.7	2.6	6.6	39.9	2.7	3.3	81.8	2.6	3.2	1.1	0.2	1.9	0	0
48	Domantas SabonisIND	PF	62	34.8	18.5	7.4	13.7	54	0.3	1.1	25.4	3.5	4.8	72.3	12.4	5	0.8	0.5	2.7	50	4
50	Jamal MurrayDEN	PG	59	32.3	18.5	6.9	15.2	45.6	1.9	5.5	34.6	2.8	3.1	88.1	4	4.8	1.1	0.3	2.2	3	0
